command_id,sequence_number,message_id,originator_addr,recipient_addr,short_message,src_ip,src_port,dst_ip,dst_port,timestamp
0x00000015,2393,,,,,10.51.3.123,57950,35.200.227.177,14010,29/06/25 08:02:09
0x00000015,2393,,,,,172.17.0.45,57878,35.200.227.177,14010,29/06/25 08:02:09
0x00000015,2393,,,,,10.51.3.123,57922,35.200.227.177,14010,29/06/25 08:02:09
0x00000015,2393,,,,,10.51.3.123,57878,35.200.227.177,14010,29/06/25 08:02:09
0x80000015,2393,,,,,35.200.227.177,14010,10.51.3.123,57938,29/06/25 08:02:09
0x80000015,2393,,,,,35.200.227.177,14010,172.17.0.45,57938,29/06/25 08:02:09
0x80000015,2393,,,,,35.200.227.177,14010,10.51.3.123,57878,29/06/25 08:02:09
0x80000015,2393,,,,,35.200.227.177,14010,172.17.0.45,57878,29/06/25 08:02:09
0x80000015,2393,,,,,35.200.227.177,14010,10.51.3.123,57920,29/06/25 08:02:09
0x80000015,2393,,,,,35.200.227.177,14010,172.17.0.45,57920,29/06/25 08:02:09
0x80000015,2393,,,,,35.200.227.177,14010,10.51.3.123,57922,29/06/25 08:02:09
0x80000015,2393,,,,,35.200.227.177,14010,172.17.0.45,57922,29/06/25 08:02:09
0x80000015,2393,,,,,35.200.227.177,14010,10.51.3.123,57928,29/06/25 08:02:09
0x80000015,2393,,,,,35.200.227.177,14010,172.17.0.45,57928,29/06/25 08:02:09
0x00000015,2393,,,,,172.17.0.45,57960,35.200.227.177,14010,29/06/25 08:02:09
0x00000015,2393,,,,,172.17.0.45,57876,35.200.227.177,14010,29/06/25 08:02:09
0x00000015,2393,,,,,10.51.3.123,57960,35.200.227.177,14010,29/06/25 08:02:09
0x00000015,2393,,,,,10.51.3.123,57876,35.200.227.177,14010,29/06/25 08:02:09
0x80000015,2393,,,,,35.200.227.177,14010,10.51.3.123,57950,29/06/25 08:02:09
0x80000015,2393,,,,,35.200.227.177,14010,172.17.0.45,57950,29/06/25 08:02:09
0x80000015,2393,,,,,35.200.227.177,14010,10.51.3.123,57904,29/06/25 08:02:09
0x80000015,2393,,,,,35.200.227.177,14010,172.17.0.45,57904,29/06/25 08:02:09
0x80000015,2393,,,,,35.200.227.177,14010,10.51.3.123,57876,29/06/25 08:02:09
0x80000015,2393,,,,,35.200.227.177,14010,172.17.0.45,57876,29/06/25 08:02:09
0x80000015,2393,,,,,35.200.227.177,14010,10.51.3.123,57960,29/06/25 08:02:09
0x80000015,2393,,,,,35.200.227.177,14010,172.17.0.45,57960,29/06/25 08:02:09
0x00000015,2393,,,,,172.17.0.45,57970,35.200.227.177,14010,29/06/25 08:02:09
0x00000015,2393,,,,,10.51.3.123,57970,35.200.227.177,14010,29/06/25 08:02:09
0x80000015,2393,,,,,35.200.227.177,14010,10.51.3.123,57970,29/06/25 08:02:09
0x80000015,2393,,,,,35.200.227.177,14010,172.17.0.45,57970,29/06/25 08:02:09
0x00000004,58322,,,,,172.17.0.47,57012,35.200.227.177,14011,29/06/25 08:02:17
0x00000004,58322,,,,,10.51.3.123,57012,35.200.227.177,14011,29/06/25 08:02:17
0x80000004,58322,581840bcd593403799d872a5efaf1651250629,,,,35.200.227.177,14011,10.51.3.123,57012,29/06/25 08:02:17
0x80000004,58322,581840bcd593403799d872a5efaf1651250629,,,,35.200.227.177,14011,172.17.0.47,57012,29/06/25 08:02:17
0x00000005,135595,581840bcd593403799d872a5efaf1651250629,919420320856,JK-ONEXTL-S,id:581840bcd593403799d872a5efaf1651250629 sub:001 dlvrd:001 submit date:250629133217 done date:250629133220 stat:DELIVRD err:000 text:,35.200.227.177,14011,10.51.3.123,57060,29/06/25 08:02:20
0x00000005,135595,581840bcd593403799d872a5efaf1651250629,919420320856,JK-ONEXTL-S,id:581840bcd593403799d872a5efaf1651250629 sub:001 dlvrd:001 submit date:250629133217 done date:250629133220 stat:DELIVRD err:000 text:,35.200.227.177,14011,172.17.0.47,57060,29/06/25 08:02:20
0x80000005,135595,,,,,172.17.0.47,57060,35.200.227.177,14011,29/06/25 08:02:20
0x80000005,135595,,,,,10.51.3.123,57060,35.200.227.177,14011,29/06/25 08:02:20
0x00000015,2421,,,,,172.17.0.57,50132,35.200.227.177,12028,29/06/25 08:02:27
0x00000015,2421,,,,,10.51.3.123,50132,35.200.227.177,12028,29/06/25 08:02:27
0x00000015,2421,,,,,172.17.0.57,50164,35.200.227.177,12028,29/06/25 08:02:27
0x00000015,2421,,,,,10.51.3.123,50164,35.200.227.177,12028,29/06/25 08:02:27
0x00000015,2421,,,,,172.17.0.57,50156,35.200.227.177,12028,29/06/25 08:02:27
0x00000015,2421,,,,,10.51.3.123,50156,35.200.227.177,12028,29/06/25 08:02:27
0x00000015,2421,,,,,172.17.0.57,50146,35.200.227.177,12028,29/06/25 08:02:27
0x00000015,2421,,,,,172.17.0.57,50168,35.200.227.177,12028,29/06/25 08:02:27
0x00000015,2421,,,,,10.51.3.123,50146,35.200.227.177,12028,29/06/25 08:02:27
0x00000015,2421,,,,,10.51.3.123,50168,35.200.227.177,12028,29/06/25 08:02:27
0x00000015,2421,,,,,172.17.0.57,50126,35.200.227.177,12028,29/06/25 08:02:27
0x00000015,2421,,,,,172.17.0.57,50124,35.200.227.177,12028,29/06/25 08:02:27
0x00000015,2421,,,,,10.51.3.123,50126,35.200.227.177,12028,29/06/25 08:02:27
0x00000015,2421,,,,,10.51.3.123,50124,35.200.227.177,12028,29/06/25 08:02:27
0x00000015,2421,,,,,172.17.0.57,50148,35.200.227.177,12028,29/06/25 08:02:27
0x00000015,2421,,,,,10.51.3.123,50148,35.200.227.177,12028,29/06/25 08:02:27
0x00000015,2421,,,,,172.17.0.57,50152,35.200.227.177,12028,29/06/25 08:02:27
0x00000015,2421,,,,,172.17.0.57,50114,35.200.227.177,12028,29/06/25 08:02:27
0x00000015,2421,,,,,10.51.3.123,50152,35.200.227.177,12028,29/06/25 08:02:27
0x00000015,2421,,,,,10.51.3.123,50114,35.200.227.177,12028,29/06/25 08:02:27
0x80000015,2421,,,,,35.200.227.177,12028,10.51.3.123,50132,29/06/25 08:02:27
0x80000015,2421,,,,,35.200.227.177,12028,172.17.0.57,50132,29/06/25 08:02:27
0x80000015,2421,,,,,35.200.227.177,12028,10.51.3.123,50156,29/06/25 08:02:27
0x80000015,2421,,,,,35.200.227.177,12028,172.17.0.57,50156,29/06/25 08:02:27
0x80000015,2421,,,,,35.200.227.177,12028,10.51.3.123,50164,29/06/25 08:02:27
0x80000015,2421,,,,,35.200.227.177,12028,172.17.0.57,50164,29/06/25 08:02:27
0x80000015,2421,,,,,35.200.227.177,12028,10.51.3.123,50124,29/06/25 08:02:27
0x80000015,2421,,,,,35.200.227.177,12028,172.17.0.57,50124,29/06/25 08:02:27
0x80000015,2421,,,,,35.200.227.177,12028,10.51.3.123,50114,29/06/25 08:02:27
0x80000015,2421,,,,,35.200.227.177,12028,172.17.0.57,50114,29/06/25 08:02:27
0x80000015,2421,,,,,35.200.227.177,12028,10.51.3.123,50148,29/06/25 08:02:27
0x80000015,2421,,,,,35.200.227.177,12028,172.17.0.57,50148,29/06/25 08:02:27
0x80000015,2421,,,,,35.200.227.177,12028,10.51.3.123,50126,29/06/25 08:02:27
0x80000015,2421,,,,,35.200.227.177,12028,172.17.0.57,50126,29/06/25 08:02:27
0x80000015,2421,,,,,35.200.227.177,12028,10.51.3.123,50146,29/06/25 08:02:27
0x80000015,2421,,,,,35.200.227.177,12028,172.17.0.57,50146,29/06/25 08:02:27
0x80000015,2421,,,,,35.200.227.177,12028,10.51.3.123,50168,29/06/25 08:02:27
